,aus,ban,fin,rom,tur,rand
abu_,0.0947368421052631,0.8052631578947369,0.0,0.0,0.0,0.1
abu,0.7338709677419355,0.1532258064516129,0.0241935483870967,0.0403225806451612,0.0483870967741935,0.0
abv_,0.0,0.0,0.0,0.0,0.0,3.0
abv,0.0,0.0,0.0,0.0,0.1999999999999999,0.8
abw_,0.0,0.0,0.0,0.0,0.0,3.0
abw,0.0,0.3,0.0,0.0,0.2,0.5
abx_,0.0,0.0,0.0,0.0,0.0,3.0
abx,0.0,0.0,0.0,0.0,0.0,3.0
aby_,0.0,0.0,0.0,0.0,0.0,3.0
aby,0.0,0.0,0.0,0.0,0.0,3.0
abz_,0.0,0.0,0.0,0.0,0.0,3.0
abz,0.0,0.0,0.0,0.0,0.0,3.0
abŋ_,0.0,0.0,0.0,0.0,0.0,3.0
abŋ,0.0,0.0,0.0,0.0,0.0,3.0
aca_,0.2153846153846153,0.0,0.0,0.2961538461538461,0.1884615384615384,0.3
aca,0.3326086956521739,0.0,0.0,0.2641304347826086,0.3032608695652173,0.1
acb_,0.0,0.0,0.0,0.0,0.0,3.0
acb,0.0,0.0,0.0,0.0,0.0,3.0
acc_,0.0,0.0,0.0,0.0,0.0,3.0
acc,0.0158730158730158,0.0,0.0,0.984126984126984,0.0,0.0
acd_,0.0,0.0,0.0,0.0,0.0,3.0
acd,0.0,0.0,0.0,0.0,0.0,3.0
ace_,0.0,0.0,0.0,0.6,0.0,0.4
ace,0.0161290322580645,0.0,0.0,0.9516129032258064,0.032258064516129,0.0
acf_,0.0,0.0,0.0,0.0,0.0,3.0
acf,0.0,0.0,0.0,0.0,0.0,3.0
acg_,0.0,0.0,0.0,0.0,0.0,3.0
acg,0.0,0.0,0.0,0.0,0.0,3.0
ach_,0.0,0.0,0.0,0.0,0.0,3.0
ach,0.0,0.0,0.0,0.5,0.0,0.5
aci_,0.0,0.0,0.0,0.24,0.36,0.3999999999999999
aci,0.0240963855421686,0.0,0.0,0.6144578313253012,0.3614457831325301,0.0
acj_,0.0,0.0,0.0,0.0,0.0,3.0
acj,0.0,0.0,0.0,0.0,0.0,3.0
ack_,0.0,0.0,0.0,0.0,0.0,3.0
ack,0.0,0.0,0.0,0.0,0.1999999999999999,0.8
acl_,0.0,0.0,0.0,0.0,0.0,3.0
acl,0.0,0.0,0.0,0.0,0.9,0.1
acm_,0.0,0.0,0.0,0.0,0.0,3.0
acm,0.0,0.0,0.0,0.0,0.7,0.3
acn_,0.0,0.0,0.0,0.0,0.0,3.0
acn,0.0,0.0,0.0,0.0,0.0,3.0
aco_,0.0,0.0,0.0,0.5,0.0,0.5
aco,0.0,0.0,0.0,0.8699999999999999,0.03,0.0999999999999999
acp_,0.0,0.0,0.0,0.0,0.0,3.0
acp,0.0,0.0,0.0,0.0,0.0,3.0
acq_,0.0,0.0,0.0,0.0,0.0,3.0
acq,0.0,0.0,0.0,0.6,0.0,0.3999999999999999
acr_,0.0,0.0,0.0,0.0,0.0,3.0
acr,0.0,0.0,0.0,0.3,0.0,0.7
acs_,0.0,0.0,0.0,0.0,0.0,3.0
acs,0.0,0.0,0.0,0.0,0.0,3.0
act_,0.0,0.0,0.0,0.0,0.0,3.0
act,0.0,0.0,0.0,1.0,0.0,0.0
acu_,0.4,0.0,0.0,0.0,0.0,0.6
acu,0.1741935483870967,0.0,0.0,0.7258064516129032,0.0,0.1
acv_,0.0,0.0,0.0,0.0,0.0,3.0
acv,0.0,0.0,0.0,0.0,0.0,3.0
acw_,0.0,0.0,0.0,0.0,0.0,3.0
acw,0.0,0.0,0.0,0.0,0.0,3.0
acx_,0.0,0.0,0.0,0.0,0.0,3.0
acx,0.0,0.0,0.0,0.0,0.0,3.0
acy_,0.0,0.0,0.0,0.0,0.0,3.0
acy,0.0,0.0,0.0,0.0,0.0,3.0
acz_,0.0,0.0,0.0,0.0,0.0,3.0
acz,0.0,0.0,0.0,0.0,0.0,3.0
acŋ_,0.0,0.0,0.0,0.0,0.0,3.0
acŋ,0.0,0.0,0.0,0.0,0.0,3.0
ada_,0.1186440677966101,0.0720338983050847,0.2288135593220339,0.4322033898305085,0.1483050847457627,0.0
ada,0.4578947368421052,0.1052631578947368,0.0789473684210526,0.1394736842105263,0.2184210526315789,0.0
adb_,0.0,0.0,0.0,0.0,0.0,3.0
adb,0.0,0.0,0.0,0.0,0.0,3.0
adc_,0.0,0.0,0.0,0.0,0.0,3.0
adc,0.0,0.0,0.0,0.0,0.0,3.0
add_,0.0,0.0,0.0,0.0,0.0,3.0
add,0.0923076923076923,0.0,0.0,0.123076923076923,0.5846153846153846,0.2
ade_,0.075,0.0,0.625,0.125,0.075,0.1
ade,0.0973451327433628,0.0176991150442477,0.2920353982300885,0.4247787610619469,0.168141592920354,0.0
adf_,0.0,0.0,0.0,0.0,0.0,3.0
adf,0.0,0.0,0.0,0.0,0.0,3.0
adg_,0.0,0.0,0.0,0.0,0.0,3.0
adg,0.1999999999999999,0.0,0.0,0.0,0.0,0.8
adh_,0.0,0.0,0.0,0.0,0.0,3.0
adh,0.0240963855421686,0.9759036144578314,0.0,0.0,0.0,0.0
adi_,0.0745341614906832,0.1055900621118012,0.0434782608695652,0.0124223602484472,0.7639751552795031,0.0
adi,0.199288256227758,0.2811387900355871,0.0462633451957295,0.1316725978647686,0.3416370106761566,0.0
adj_,0.0,0.0,0.0,0.0,0.0,3.0
adj,0.1,0.0,0.0,0.2,0.0,0.7
adk_,0.0,0.0,0.0,0.0,0.0,3.0
adk,0.0,0.0,0.0,0.0,0.0,3.0
adl_,0.0,0.0,0.0,0.0,0.0,3.0
adl,0.1217391304347826,0.0,0.2739130434782608,0.0,0.3043478260869565,0.3
adm_,0.0,0.0,0.0,0.0,0.0,3.0
adm,0.0,0.0,0.2947368421052631,0.4052631578947367,0.0,0.3
adn_,0.0,0.0,0.0,0.1999999999999999,0.0,0.8
adn,0.1999999999999999,0.0,0.0,0.0,0.0,0.8
ado_,0.0093896713615023,0.0046948356807511,0.0,0.9812206572769951,0.0046948356807511,0.0
ado,0.036144578313253,0.1024096385542168,0.0060240963855421,0.8433734939759037,0.0120481927710843,0.0
adp_,0.0,0.0,0.0,0.0,0.0,3.0
adp,0.0,0.0,0.0,0.0,0.0,3.0
adq_,0.0,0.0,0.0,0.0,0.0,3.0
adq,0.0,0.0,0.0,0.5,0.0,0.5
adr_,0.0,0.0,0.0,0.0,0.0,3.0
adr,0.0888888888888888,0.0,0.1333333333333333,0.4222222222222222,0.1555555555555555,0.2
ads_,0.0,0.0,0.0,0.0,0.0,3.0
ads,0.0,0.0,0.0,0.0,0.0,3.0
adt_,0.0,0.0,0.0,0.0,0.0,3.0
adt,0.0,0.0,0.0,0.0,0.0,3.0
adu_,0.4,0.0,0.1,0.0,0.0,0.5
adu,0.2581967213114754,0.1401639344262295,0.2213114754098361,0.280327868852459,0.0,0.1
adv_,0.0,0.0,0.0,0.0,0.0,3.0
adv,0.0,0.0,0.4,0.0,0.0,0.5999999999999999
adw_,0.0,0.0,0.0,0.0,0.0,3.0
adw,0.3,0.0,0.0,0.0,0.0,0.7
adx_,0.0,0.0,0.0,0.0,0.0,3.0
adx,0.0,0.0,0.0,0.0,0.0,3.0
ady_,0.0,0.0,0.0,0.0,0.0,3.0
ady,0.0,0.0,0.0,0.0999999999999999,0.0999999999999999,0.8
adz_,0.0,0.0,0.0,0.0,0.0,3.0
adz,0.0,0.0,0.0,0.0,0.0,3.0
adŋ_,0.0,0.0,0.0,0.0,0.0,3.0
adŋ,0.0,0.0,0.0,0.0,0.0,3.0
aea_,0.0,0.3,0.0,0.0,0.0,0.7
aea,0.0,0.0,0.0,0.0,0.0,3.0
aeb_,0.0,0.0,0.1999999999999999,0.0,0.0,0.8
aeb,0.0,0.0,0.0,0.0,0.0,3.0
aec_,0.0,0.0,0.0,0.0,0.0,3.0
aec,0.0,0.0,0.0,0.0,0.0,3.0
aed_,0.0,0.0,0.5,0.0,0.0,0.5
aed,0.0,0.0,0.0,0.0,0.0,3.0
aee_,0.0,0.0,0.0,0.0,0.0,3.0
aee,0.0,0.0,0.0,0.0,0.0,3.0
aef_,0.0,0.0,0.0,0.0,0.0,3.0
aef,0.0,0.0,0.0,0.0,0.0,3.0
aeg_,0.0,0.0,0.4,0.0,0.0,0.5999999999999999
aeg,0.0,0.0,0.6,0.0,0.0,0.3999999999999999
aeh_,0.0,0.0,0.0,0.0,0.0,3.0
aeh,0.0,0.0,0.1999999999999999,0.0,0.0,0.8
aei_,0.0,0.0,0.0,0.0,0.0,3.0
aei,0.0,0.0,0.0,0.0,0.0,3.0
